,"parameter","default","ui control type","level","parameter labels","description","auxiliary ui controls",
"global","rootindir","pwd","edit",,,"Directory where everything will be saved (default = current working directory)","getdir",
"global","rootoutdir","pwd","edit","basic",,"Directory where everything will be saved (default = current working directory)","getdir",
"global","prefix","proc","edit","basic",,"Prefix to all output filenames (default  = ''proc'')",,
"global","inpath","matfiles","edit",,,"subdirectory within rootindir to search for required data files by default",,
"global","outpath","matfiles","edit",,,"subdirectory within rootoutdir to save results by default",,
"global","overwrite",0,"edit","basic",,"Whether to overwrite files",,
"global","cluster","mmilcluster","edit","basic",,"Any cluster jobs will be submitted to this cluster (string)",,
"global","clusterscript","qmatjobs2","edit","basic",,"Shell script used to submit jobs to the cluster",,
"global","logfile","[]","edit","basic",,"filename for log file (stdout will be appended)","infile",
"global","logfid","[1]","edit","basic",,"file FID for log file",,
"global","conditionkey",,"edit",,,"CSV file containing condition labels","infile",
"global","badchanfile","[]","edit","basic",,"txt file listing channel labels to skip","infile",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"ts_process_ieeg_data","function_id",,"edit","basic","function ID","Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Process iEEG data"
"ts_process_ieeg_data","input_id",,"edit","basic","input function ID","The numeric identifier of an earlier function whose results are this function''s input",,
,"cluster_flag",,"edit",,,"Whether to submit job to cluster",,
"ts_process_ieeg_data","prefix",,"edit",,,"Character string to start all generated file names",,
"ts_process_ieeg_data","rootoutdir",,"edit",,,,"getdir",
,"verbose",1,"edit",,,,,
,"precision","double","edit",,,,,
"ts_process_ieeg_data","conditionkey",,"edit",,,"CSV file containing condition labels","infile",
,"conditionfile",,"edit",,,"CSV file containing condition labels (same as conditionkey)","infile",
"ts_process_ieeg_data","datafile","[]","edit","basic",,"file containing raw or preprocessed data (eeg;avg;cnt;mat;etc)","infile",
"ts_process_ieeg_data","datapath","[]","edit",,,,"getdir",
,"dataskip","[]","edit",,,,,
,"datastring",,"edit",,,,,
"ts_process_ieeg_data","filename","[]","edit",,,,"outfile",
,"badchanfile","[]","edit","basic",,"txt file listing channel labels to skip","infile",
"ts_process_ieeg_data","channamefile","[]","edit","basic",,"txt file listing new channel labels","infile",
"ts_process_ieeg_data","rejectfile","[]","edit","basic",,"MAT file containing reject_data","infile",
"ts_process_ieeg_data","channels","[]","edit","basic",,"vector of channel indices - overrides chantype",,
"ts_process_ieeg_data","chantype","all","edit","basic",,"options: {all mag grad1 grad2 eeg other grad meg}",,
"ts_process_ieeg_data","events","[]","edit","basic",,"event codes of conditions to process",,
"ts_process_ieeg_data","saveepochs_flag",1,"edit","basic","save epochs","whether to save epochs",,
,"saveepochs_raw_flag",0,"edit",,,,,
,"saveepochs_post_flag",0,"edit",,,,,
"ts_process_ieeg_data","saveaverages_flag",1,"edit","basic","save averages","whether to save averages",,
"ts_process_ieeg_data","oldeventcodes","[]","edit","basic",,"Array of event codes to change. For multiple files - specify old event codes in one numeric array per file and place all arrays in a cell.  Ex. Files 1 & 2 both have event codes 1-3: {[1 2 3] [1 2 3]}",,
"ts_process_ieeg_data","neweventcodes","[]","edit","basic",,"Array of event codes to replace the old event codes. See help for oldeventcodes for handling multiple files.",,
"ts_process_ieeg_data","stim_delay","[]","edit","basic",,"time vector offset",,
"ts_process_ieeg_data","timelimits","[]","edit","basic","time limits","epoch time limits [begin end] in seconds",,
"ts_process_ieeg_data","ICA_auto_flag",0,"edit","basic",,"whether to perform automatic ICA",,
"ts_process_ieeg_data","ICA_ref_chan","EOG061","edit",,,"reference channel for automatic ICA",,
"ts_process_ieeg_data","ICA_manual_flag",0,"edit","basic",,"whether to perform manual ICA",,
"ts_process_ieeg_data","ICA_chantype","all","edit",,,"cell array of channel types to process (each set will be processed individually)",,
"ts_process_ieeg_data","ICA_maxsteps",20,"edit",,,"maximum number of steps for ica (default = 20)",,
"ts_process_ieeg_data","ICA_ntrials",5,"edit",,,"the number of trials to display on screen for IC selection; only applies to ""activations"" plot (default = 5)",,
"ts_process_ieeg_data","ICA_ncomponents",80,"edit",,,"the number of components to display on screen for IC selection (default = 80) Note: use [] to display all",,
"ts_process_ieeg_data","ICA_plottype","activations","edit",,,"the type of plot to view:{activations or alltrials} . activations (default) - shows from 1 to ""ntrial"" trials of component activations along x-axis; shows all trials (y-axis) as a color plot with time on x-axis and activation size on c-axis",,
"ts_process_ieeg_data","ICA_rescale_flag",1,"edit",,,,,
"ts_process_ieeg_data","ICA_sorttrials",0,"edit",,,,,
,"visualreject",0,"edit","basic",,"whether to do visual rejection using FieldTrip rejectvisual",,
,"reject_method","summary","edit","basic",,"rejectvisual method (see FieldTrip documentation)",,
,"reject_metric","var","edit","basic",,"rejectvisual metric (see FieldTrip documentation)",,
,"method","[]","edit",,,"rejectvisual method (see FieldTrip documentation)",,
,"metric","[]","edit",,,"rejectvisual metric (see FieldTrip documentation)",,
"ts_process_ieeg_data","noise_start",-0.08,"edit",,,,,
"ts_process_ieeg_data","noise_end",0,"edit",,,,,
"ts_process_ieeg_data","recode_rules","[]","edit",,,,,
,"combinations","[]","edit",,,,,
"ts_process_ieeg_data","epoch_combinations","[]","edit","basic",,"combinations for epoch_data (see ts_combine_conditions)",,
"ts_process_ieeg_data","epoch_neweventcodes","[]","edit","basic",,"neweventcodes for epoch_data (see ts_combine_conditions)",,
"ts_process_ieeg_data","average_combinations","[]","edit","basic",,"combinations for avg_data (see ts_combine_conditions)",,
"ts_process_ieeg_data","average_neweventcodes","[]","edit","basic",,"neweventcodes for avg_data (see ts_combine_conditions)",,
,"combo_calc","weighted","edit",,,,,
,"comboeventcodes","[]","edit",,,,,
,"additioncombos","[]","edit",,,,,
,"additioneventcodes","[]","edit",,,,,
,"write_avg_flag",0,"edit",,,,,
,"bandpass_flag",0,"edit",,,,,
,"bandpass_low_cf",0.2,"edit",,,,,
,"bandpass_low_tb",0.4,"edit",,,,,
,"bandpass_high_cf",50,"edit",,,,,
,"bandpass_high_tb",10,"edit",,,,,
"ts_process_ieeg_data","dsfact",1,"edit","basic","downsample factor","the factor used for downsampling the data",,
,"detrend_flag",0,"edit",,,,,
,"baseline_flag",1,"edit",,,,,
,"baseline_start","-Inf","edit",,,,,
,"baseline_end",0,"edit",,,,,
,"keeptrials","[]","edit",,,,,
,"combinations","[]","edit",,,,,
,"comboeventcodes","[]","edit",,,,,
,"calc","weighted","edit",,"combo calc",,,
,"cfg","[]","edit",,,,,
,"feedback","none","edit",,,,,
"ts_process_ieeg_data","lpfilter","no","edit","basic","lowpass","lowpass filter",,
"ts_process_ieeg_data","lpfreq","[]","edit","basic","lowpass freq","lowpass  frequency in Hz",,
"ts_process_ieeg_data","lpfiltord",6,"edit",,"lowpass order","lowpass filter order",,
"ts_process_ieeg_data","lpfilttype","but","edit",,"lowpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_process_ieeg_data","lpfiltdir","twopass","edit",,"lowpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_process_ieeg_data","hpfilter","no","edit","basic","highpass","highpass filter",,
"ts_process_ieeg_data","hpfreq","[]","edit","basic","highpass freq","highpass frequency in Hz",,
"ts_process_ieeg_data","hpfiltord",6,"edit",,"highpass order","highpass filter order",,
"ts_process_ieeg_data","hpfilttype","but","edit",,"highpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_process_ieeg_data","hpfiltdir","twopass","edit",,"highpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_process_ieeg_data","bpfilter","no","edit","basic","bandpass","bandpass filter",,
"ts_process_ieeg_data","bpfreq","[]","edit","basic","bandpass freqs","bandpass frequency range - specified as [low high] in Hz",,
"ts_process_ieeg_data","bpfiltord",4,"edit",,"bandpass order","bandpass filter order",,
"ts_process_ieeg_data","bpfilttype","but","edit",,"bandpass type","digital filter type - ""but"" (default) or ""fir""",,
"ts_process_ieeg_data","bpfiltdir","twopass","edit",,"bandpass direction","filter direction - ""twopass"" (default) - ""onepass"" or ""onepass-reverse""",,
"ts_process_ieeg_data","bsfilter","no","edit","basic","bandstop","bandstop filter",,
