"SeriesType","matchi Manufacturer","match SeriesDescription","matchi SeriesDescription","match SequenceName","match ScanningSequence","match SequenceLabel","matchi SequenceLabel","exact SequenceVariant","match ImageType","exact MRAcquisitionType","exact magnitude_flag","match rfrxcoiltype","match ScanOptions","expr FlipAngle","exact InversionTime","expr InversionTime","expr RepetitionTime","exact ndiffdirs","exact nimgs","expr nimgs","expr SliceThickness","exact Rows","exact Columns","exact NumberOfPhaseEncodingSteps","expr NumberOfPhaseEncodingSteps","exact pepolar","exact pe_rev_flag","exact pe_for_flag","expr pe_extra_val","expr InPlaneRot","expr tensor_fnum","set pepolar","set nb0","set bval","set ndiffdirs","set gradwarpinfo_dot_unwarpflag"
"MPR","PHILIPS",,,,"GR",,,,,"3D",,,,,,,,,,,"<= 1.5",,,,,,,,,,,,,,,
"MPR","PHILIPS",,,,"GR",,,"MP",,,,,,,,,,,,,"<= 1.5",,,,,,,,,,,,,,,
"LOCALIZER","PHILIPS",,"SURVEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTI","PHILIPS","DTI",,"DWI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"DTI","PHILIPS","Diff",,"DWI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"DTI","PHILIPS","DTI",,"SEEPI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"DTI","PHILIPS","Diff",,"SEEPI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"DTI_rev","PHILIPS","B[0O]_A",,"DWI","SE",,,,,,,,,,,,,,,,,,,,">= 95",,,,,,,1,1,0,0,
"DTI_rev","PHILIPS","B[0O]_A",,"SEEPI","SE",,,,,,,,,,,,,,,,,,,,">= 95",,,,,,,1,1,0,0,
"DTI","PHILIPS","B[0O]_P",,"DWI","SE",,,,,,,,,,,,,,,,,,,,">= 95",,,,,,,0,1,0,0,
"DTI","PHILIPS","B[0O]_P",,"SEEPI","SE",,,,,,,,,,,,,,,,,,,,">= 95",,,,,,,0,1,0,0,
"BOLD_SE","PHILIPS","B[0O]_A",,"DWI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0
"BOLD_SE","PHILIPS","B[0O]_A",,"SEEPI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0
"BOLD_SE","PHILIPS","B[0O]_P",,"DWI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
"BOLD_SE","PHILIPS","B[0O]_P",,"SEEPI","SE",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
"TSE2D","PHILIPS",,,,"SE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_bu","PHILIPS",,"REST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
