"SeriesType","matchi Manufacturer","match SeriesDescription","matchi SeriesDescription","match SequenceName","match ScanningSequence","match SequenceLabel","matchi SequenceLabel","exact SequenceVariant","match ImageType","exact MRAcquisitionType","exact magnitude_flag","match rfrxcoiltype","match ScanOptions","expr FlipAngle","exact InversionTime","expr InversionTime","expr RepetitionTime","exact ndiffdirs","exact nimgs","expr nimgs","expr SliceThickness","exact Rows","exact Columns","exact NumberOfPhaseEncodingSteps","expr NumberOfPhaseEncodingSteps","exact pepolar","exact pe_rev_flag","exact pe_for_flag","expr pe_extra_val","expr InPlaneRot","expr tensor_fnum","set pepolar","set nb0","set bval","set ndiffdirs","set gradwarpinfo_dot_unwarpflag"
"JUNK","SIEMENS",,"_FA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JUNK","SIEMENS",,"_ADC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JUNK","SIEMENS",,"_TRACEW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JUNK","SIEMENS",,"_EXP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JUNK","SIEMENS",,"_ColFA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JUNK","SIEMENS",,"_TENSOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPR","SIEMENS",,,"tfl3d1",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"MPR","SIEMENS","mpr3D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPR","SIEMENS",,,"tfl3d1",,,,,"ORIGINAL\\PRIMARY\\M\\DIS2D",,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDIChi","SIEMENS",,,"fl3d\d_ns",,,,,,,1,,,">= 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"MEDIClo","SIEMENS",,,"fl3d\d_ns",,,,,,,1,,,"< 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"FLASHhi","SIEMENS",,,"fl3d\d",,,,,,,1,,,">= 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"FLASHlo","SIEMENS",,,"fl3d\d",,,,,,,1,,,"< 10",,,"> 10",,,,,,,,,,,,,,,,,,,
"XetaT2","SIEMENS",,,"spc3d1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTI_rev","SIEMENS",,,"epse2d1_96",,,,,,,,,,,,,,,,,,,,,,,,,"> 10",,,1,1,,,
"DTI","SIEMENS",,,"epse2d1_96",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,
"BOLD_pep","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,2,,,,,,,,,,"> 4",,,2,1,,,
"BOLD_pep","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,2,,,,,,,,,,"> 4",,,3,1,,,
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,0,0
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,,,"> 4",,,1,1,,0,0
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,0,0
"BOLD_SE","SIEMENS","P-A","BOLD","ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0
"BOLD_SE","SIEMENS","P-A",,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,,,1,,,0,0
"BOLD_SE","SIEMENS",,"BOLD","ep_b",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,0,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,1,,,,,1,,,0,0
"BOLD_SE","SIEMENS",,"BOLD","ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,"> 0.2",,1,,,0,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,"> 0.2",,1,,,0,0
"DTI_rev","SIEMENS","P-A",,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"DTI_rev","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
"DTI_rev","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,"> 0.2",,1,,,,
"BOLD_SE","SIEMENS","A-P","BOLD","ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
"BOLD_SE","SIEMENS","A-P",,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,,,0,,,0,0
"BOLD_SE","SIEMENS","AP","BOLD","ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
"BOLD_SE","SIEMENS","AP",,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,,,0,,,0,0
