NY453,GB13,R,middle-postcentral,1,0,0,red
NY453,GB37,R,supramarginal,0,0,1,green
NY453,GB38,R,supramarginal,0,1,0,blue
NY453,GB39,R,supramarginal,0,1,0,blue
NY453,GB40,R,inferior-postcentral,0,1,0,blue
NY453,GB45,R,supramarginal,0,0,1,green
NY453,GB46,R,supramarginal,0,1,0,blue
NY453,GB47,R,supramarginal,0,1,0,blue
NY453,GB48,R,caudal-STG,0,1,0,blue
NY453,GB52,R,supramarginal,0,1,0,blue
NY453,GB53,R,supramarginal,0,1,0,blue
NY453,GB54,R,caudal-STG,0,1,0,blue
NY453,GB55,R,caudal-STG,0,1,0,blue
NY453,GB56,R,caudal-STG,0,1,0,blue
NY453,GB61,R,caudal-STG,0,1,0,blue
NY453,GB62,R,caudal-STG,0,1,0,blue
NY453,GB63,R,caudal-STG,0,1,0,blue
NY453,GB64,R,caudal-STG,0,1,0,blue
