"SNP_ID","ICV_all_pval","ICV_all_pval_sim","ICV_all_pval_sim_corr","BrainVol_all_pval","BrainVol_all_pval_sim","BrainVol_all_pval_sim_corr","CorticalThickness_all_pval","CorticalThickness_all_pval_sim","CorticalThickness_all_pval_sim_corr","CorticalArea_all_pval","CorticalArea_all_pval_sim","CorticalArea_all_pval_sim_corr","CerebellarVol_all_pval","CerebellarVol_all_pval_sim","CerebellarVol_all_pval_sim_corr","HippocampalVol_all_pval","HippocampalVol_all_pval_sim","HippocampalVol_all_pval_sim_corr","BasalGangliaVol_all_pval","BasalGangliaVol_all_pval_sim","BasalGangliaVol_all_pval_sim_corr","VentricularVol_all_pval","VentricularVol_all_pval_sim","VentricularVol_all_pval_sim_corr","FrontalCorticalThickness_all_pval","FrontalCorticalThickness_all_pval_sim","FrontalCorticalThickness_all_pval_sim_corr","TemporalCorticalThickness_all_pval","TemporalCorticalThickness_all_pval_sim","TemporalCorticalThickness_all_pval_sim_corr","ParietalCorticalThickness_all_pval","ParietalCorticalThickness_all_pval_sim","ParietalCorticalThickness_all_pval_sim_corr","OccipitalCorticalThickness_all_pval","OccipitalCorticalThickness_all_pval_sim","OccipitalCorticalThickness_all_pval_sim_corr","FrontalCorticalArea_all_pval","FrontalCorticalArea_all_pval_sim","FrontalCorticalArea_all_pval_sim_corr","TemporalCorticalArea_all_pval","TemporalCorticalArea_all_pval_sim","TemporalCorticalArea_all_pval_sim_corr","ParietalCorticalArea_all_pval","ParietalCorticalArea_all_pval_sim","ParietalCorticalArea_all_pval_sim_corr","OccipitalCorticalArea_all_pval","OccipitalCorticalArea_all_pval_sim","OccipitalCorticalArea_all_pval_sim_corr","ICV_males_pval","ICV_males_pval_sim","ICV_males_pval_sim_corr","BrainVol_males_pval","BrainVol_males_pval_sim","BrainVol_males_pval_sim_corr","CorticalThickness_males_pval","CorticalThickness_males_pval_sim","CorticalThickness_males_pval_sim_corr","CorticalArea_males_pval","CorticalArea_males_pval_sim","CorticalArea_males_pval_sim_corr","CerebellarVol_males_pval","CerebellarVol_males_pval_sim","CerebellarVol_males_pval_sim_corr","HippocampalVol_males_pval","HippocampalVol_males_pval_sim","HippocampalVol_males_pval_sim_corr","BasalGangliaVol_males_pval","BasalGangliaVol_males_pval_sim","BasalGangliaVol_males_pval_sim_corr","VentricularVol_males_pval","VentricularVol_males_pval_sim","VentricularVol_males_pval_sim_corr","FrontalCorticalThickness_males_pval","FrontalCorticalThickness_males_pval_sim","FrontalCorticalThickness_males_pval_sim_corr","TemporalCorticalThickness_males_pval","TemporalCorticalThickness_males_pval_sim","TemporalCorticalThickness_males_pval_sim_corr","ParietalCorticalThickness_males_pval","ParietalCorticalThickness_males_pval_sim","ParietalCorticalThickness_males_pval_sim_corr","OccipitalCorticalThickness_males_pval","OccipitalCorticalThickness_males_pval_sim","OccipitalCorticalThickness_males_pval_sim_corr","FrontalCorticalArea_males_pval","FrontalCorticalArea_males_pval_sim","FrontalCorticalArea_males_pval_sim_corr","TemporalCorticalArea_males_pval","TemporalCorticalArea_males_pval_sim","TemporalCorticalArea_males_pval_sim_corr","ParietalCorticalArea_males_pval","ParietalCorticalArea_males_pval_sim","ParietalCorticalArea_males_pval_sim_corr","OccipitalCorticalArea_males_pval","OccipitalCorticalArea_males_pval_sim","OccipitalCorticalArea_males_pval_sim_corr","ICV_females_pval","ICV_females_pval_sim","ICV_females_pval_sim_corr","BrainVol_females_pval","BrainVol_females_pval_sim","BrainVol_females_pval_sim_corr","CorticalThickness_females_pval","CorticalThickness_females_pval_sim","CorticalThickness_females_pval_sim_corr","CorticalArea_females_pval","CorticalArea_females_pval_sim","CorticalArea_females_pval_sim_corr","CerebellarVol_females_pval","CerebellarVol_females_pval_sim","CerebellarVol_females_pval_sim_corr","HippocampalVol_females_pval","HippocampalVol_females_pval_sim","HippocampalVol_females_pval_sim_corr","BasalGangliaVol_females_pval","BasalGangliaVol_females_pval_sim","BasalGangliaVol_females_pval_sim_corr","VentricularVol_females_pval","VentricularVol_females_pval_sim","VentricularVol_females_pval_sim_corr","FrontalCorticalThickness_females_pval","FrontalCorticalThickness_females_pval_sim","FrontalCorticalThickness_females_pval_sim_corr","TemporalCorticalThickness_females_pval","TemporalCorticalThickness_females_pval_sim","TemporalCorticalThickness_females_pval_sim_corr","ParietalCorticalThickness_females_pval","ParietalCorticalThickness_females_pval_sim","ParietalCorticalThickness_females_pval_sim_corr","OccipitalCorticalThickness_females_pval","OccipitalCorticalThickness_females_pval_sim","OccipitalCorticalThickness_females_pval_sim_corr","FrontalCorticalArea_females_pval","FrontalCorticalArea_females_pval_sim","FrontalCorticalArea_females_pval_sim_corr","TemporalCorticalArea_females_pval","TemporalCorticalArea_females_pval_sim","TemporalCorticalArea_females_pval_sim_corr","ParietalCorticalArea_females_pval","ParietalCorticalArea_females_pval_sim","ParietalCorticalArea_females_pval_sim_corr","OccipitalCorticalArea_females_pval","OccipitalCorticalArea_females_pval_sim","OccipitalCorticalArea_females_pval_sim_corr"
"rs10739569",0.672505,0.687617,1.000000,0.787214,0.794367,1.000000,0.580355,0.588613,1.000000,0.425010,0.438980,1.000000,0.645262,0.655000,1.000000,0.415469,0.420907,1.000000,0.449049,0.452607,1.000000,0.526337,0.538229,1.000000,0.793322,0.793996,1.000000,0.415206,0.427279,1.000000,0.801233,0.802157,1.000000,0.119822,0.123774,0.889789,0.580735,0.584773,1.000000,0.367238,0.383837,0.999700,0.458475,0.463805,1.000000,0.453102,0.456071,1.000000,0.381496,0.431844,0.999800,0.056684,0.080692,0.762876,0.240571,0.233833,0.988399,0.080645,0.119800,0.880288,0.042523,0.062087,0.673867,0.041929,0.067334,0.694369,0.167315,0.182163,0.964396,0.961644,0.958010,1.000000,0.575979,0.575484,1.000000,0.354325,0.345228,0.999300,0.436514,0.430033,1.000000,0.027348,0.026152,0.391739,0.080626,0.119341,0.882588,0.122565,0.163873,0.946595,0.143819,0.180950,0.960696,0.129692,0.181322,0.962596,0.142846,0.124654,0.920792,0.128655,0.101182,0.846885,0.696744,0.703321,1.000000,0.536684,0.479788,1.000000,0.169165,0.135591,0.918592,0.377376,0.321707,0.998400,0.757470,0.746842,1.000000,0.397840,0.450818,1.000000,0.851365,0.848643,1.000000,0.820450,0.831104,1.000000,0.258980,0.257015,0.992299,0.993957,0.994090,1.000000,0.335077,0.257585,0.995500,0.788832,0.762357,1.000000,0.680517,0.644139,1.000000,0.650658,0.582167,1.000000
"rs7042649",0.987551,0.987793,1.000000,0.887381,0.890719,1.000000,0.970452,0.970386,1.000000,0.538065,0.539770,1.000000,0.685324,0.692435,1.000000,0.923887,0.926017,1.000000,0.869265,0.871900,1.000000,0.960500,0.962892,1.000000,0.730558,0.724093,1.000000,0.515725,0.516479,1.000000,0.375754,0.373014,0.999300,0.265499,0.265614,0.993099,0.855344,0.856577,1.000000,0.468715,0.468214,1.000000,0.649108,0.647318,1.000000,0.377785,0.369883,0.999300,0.568186,0.622734,1.000000,0.290064,0.340445,0.998800,0.347217,0.331242,0.998700,0.483896,0.546210,1.000000,0.235807,0.284285,0.995700,0.608890,0.652040,1.000000,0.988087,0.988734,1.000000,0.987078,0.986023,1.000000,0.586277,0.587623,1.000000,0.438887,0.426515,0.999900,0.655637,0.641303,1.000000,0.144986,0.141171,0.915492,0.670858,0.717474,1.000000,0.452412,0.502812,1.000000,0.508006,0.550479,1.000000,0.675201,0.715715,1.000000,0.552548,0.494878,1.000000,0.389231,0.333543,0.999100,0.373517,0.371196,0.999700,0.867494,0.834759,1.000000,0.536721,0.483545,1.000000,0.705364,0.661187,1.000000,0.804837,0.799162,1.000000,0.957238,0.963903,1.000000,0.302841,0.293494,0.997500,0.887988,0.888802,1.000000,0.090489,0.084302,0.780978,0.913369,0.914377,1.000000,0.865931,0.833362,1.000000,0.787952,0.749059,1.000000,0.982611,0.978814,1.000000,0.409773,0.316271,0.999400
"rs7861226",0.982680,0.983624,1.000000,0.844674,0.850425,1.000000,0.763756,0.765279,1.000000,0.590054,0.594379,1.000000,0.629123,0.639934,1.000000,0.872176,0.877134,1.000000,0.976269,0.976656,1.000000,0.988481,0.988913,1.000000,0.900875,0.899736,1.000000,0.350826,0.352972,0.999100,0.503336,0.499575,1.000000,0.181997,0.185375,0.964796,0.972055,0.971984,1.000000,0.508430,0.512916,1.000000,0.624482,0.629038,1.000000,0.553901,0.553255,1.000000,0.431137,0.482829,1.000000,0.199878,0.241728,0.987399,0.198153,0.188284,0.970597,0.484696,0.542190,1.000000,0.151193,0.188370,0.967797,0.522200,0.569839,1.000000,0.760508,0.770769,1.000000,0.927180,0.920869,1.000000,0.462753,0.469208,1.000000,0.266830,0.259577,0.993299,0.460977,0.444008,1.000000,0.068111,0.065071,0.689269,0.713246,0.749489,1.000000,0.445873,0.491159,1.000000,0.431747,0.475502,1.000000,0.842346,0.863168,1.000000,0.411073,0.386046,0.999900,0.310868,0.273351,0.995700,0.383678,0.384235,0.999700,0.954441,0.945448,1.000000,0.444855,0.403839,0.999800,0.676936,0.634757,1.000000,0.727558,0.718914,1.000000,0.942982,0.949116,1.000000,0.360943,0.356186,0.999500,0.842154,0.845410,1.000000,0.092672,0.085812,0.785579,0.963612,0.964659,1.000000,0.748909,0.693863,1.000000,0.868076,0.848756,1.000000,0.920030,0.907767,1.000000,0.525570,0.447602,1.000000
"rs17343890",0.862790,0.877372,1.000000,0.413730,0.421903,0.999900,0.411123,0.397636,0.999800,0.266317,0.281492,0.995200,0.316520,0.323517,0.998300,0.996724,0.996769,1.000000,0.583972,0.577045,1.000000,0.967821,0.968717,1.000000,0.402528,0.386581,0.999700,0.125089,0.121059,0.884888,0.548535,0.538097,1.000000,0.258432,0.260814,0.991799,0.394526,0.394364,0.999700,0.336303,0.345588,0.999100,0.229144,0.238824,0.988799,0.567128,0.583050,1.000000,0.496809,0.544186,1.000000,0.148660,0.180454,0.960596,0.511751,0.496616,1.000000,0.211630,0.262900,0.993099,0.129950,0.160230,0.942094,0.866454,0.882596,1.000000,0.340306,0.354877,0.998800,0.747299,0.729122,1.000000,0.488135,0.492049,1.000000,0.354762,0.341173,0.999300,0.542745,0.532104,1.000000,0.605618,0.597207,1.000000,0.209782,0.254619,0.991499,0.256681,0.298962,0.997100,0.154861,0.188984,0.966897,0.703536,0.751522,1.000000,0.618684,0.637679,1.000000,0.697464,0.682592,1.000000,0.619555,0.627819,1.000000,0.788047,0.761348,1.000000,0.847957,0.838646,1.000000,0.846956,0.825618,1.000000,0.807234,0.793174,1.000000,0.675815,0.702315,1.000000,0.632766,0.622422,1.000000,0.207575,0.229153,0.987099,0.827408,0.821972,1.000000,0.266371,0.272669,0.993999,0.900054,0.878344,1.000000,0.862992,0.848163,1.000000,0.832669,0.815415,1.000000,0.202467,0.151840,0.947795
"rs7857382",0.045001,0.045800,0.583258,0.221678,0.222879,0.982798,0.905087,0.907848,1.000000,0.043800,0.043409,0.559756,0.236129,0.235119,0.986499,0.836546,0.838948,1.000000,0.333986,0.336111,0.999400,0.167892,0.173995,0.951295,0.928972,0.931207,1.000000,0.737648,0.743547,1.000000,0.774436,0.780159,1.000000,0.848914,0.847673,1.000000,0.067466,0.064665,0.688669,0.088454,0.091850,0.810481,0.051687,0.050394,0.608861,0.071767,0.068196,0.719872,0.009125,0.016736,0.284128,0.198368,0.242620,0.987599,0.140910,0.132225,0.910191,0.008511,0.017714,0.302430,0.191548,0.232044,0.985999,0.961822,0.967352,1.000000,0.855458,0.860374,1.000000,0.002488,0.001432,0.034403,0.090352,0.090148,0.805681,0.335830,0.320638,0.998600,0.190691,0.188127,0.969197,0.299214,0.291664,0.996600,0.005752,0.010832,0.203920,0.034558,0.055157,0.638264,0.015449,0.025529,0.394739,0.023076,0.042325,0.549555,0.688537,0.634966,1.000000,0.611600,0.570420,1.000000,0.155074,0.163498,0.948295,0.692686,0.632342,1.000000,0.659013,0.622568,1.000000,0.754084,0.728504,1.000000,0.152892,0.148440,0.929693,0.425682,0.483661,1.000000,0.180708,0.179458,0.962296,0.205000,0.212511,0.981998,0.133437,0.131541,0.904890,0.521556,0.529119,1.000000,0.975071,0.968557,1.000000,0.666785,0.610175,1.000000,0.628081,0.571604,1.000000,0.673379,0.608244,1.000000
"rs10760103",0.166390,0.159335,0.946495,0.386195,0.378616,0.999700,0.612231,0.616564,1.000000,0.164543,0.164235,0.948195,0.387728,0.379430,0.999500,0.700763,0.704620,1.000000,0.229428,0.231233,0.986199,0.303916,0.310121,0.996600,0.764013,0.767775,1.000000,0.442793,0.445473,1.000000,0.483670,0.488792,1.000000,0.781570,0.781788,1.000000,0.212830,0.204755,0.976398,0.197182,0.202799,0.974797,0.206185,0.202874,0.974397,0.263923,0.260475,0.992599,0.096911,0.130996,0.896890,0.678416,0.708694,1.000000,0.629800,0.624261,1.000000,0.144343,0.189485,0.963496,0.623548,0.655010,1.000000,0.627161,0.670712,1.000000,0.836582,0.840690,1.000000,0.007147,0.004869,0.102010,0.540163,0.541554,1.000000,0.843351,0.840621,1.000000,0.880756,0.881428,1.000000,0.329946,0.329543,0.998800,0.141036,0.181224,0.959096,0.223525,0.276254,0.993099,0.319931,0.366433,0.999200,0.101694,0.141836,0.922392,0.692085,0.638757,1.000000,0.431871,0.382958,0.999700,0.279248,0.281802,0.996100,0.563759,0.486512,1.000000,0.473484,0.428629,0.999900,0.929262,0.919556,1.000000,0.159562,0.152790,0.935494,0.331422,0.399883,0.999800,0.356403,0.351785,0.999500,0.237652,0.244927,0.990499,0.292891,0.292496,0.996400,0.636155,0.645826,1.000000,0.706913,0.648456,1.000000,0.513133,0.445963,1.000000,0.416736,0.348196,0.999700,0.949614,0.937110,1.000000
"rs10739568",0.164934,0.158215,0.945295,0.387603,0.381599,0.999800,0.644015,0.647954,1.000000,0.163518,0.165623,0.949395,0.391014,0.385338,0.999600,0.703880,0.708678,1.000000,0.221285,0.223468,0.983298,0.314690,0.319259,0.997300,0.773727,0.776677,1.000000,0.478055,0.481815,1.000000,0.519761,0.525779,1.000000,0.737326,0.737299,1.000000,0.211524,0.205821,0.976698,0.201476,0.207987,0.976898,0.205281,0.204501,0.974897,0.263030,0.260440,0.992599,0.095353,0.129016,0.894189,0.683038,0.712880,1.000000,0.578612,0.573116,1.000000,0.143014,0.188148,0.962396,0.631921,0.662856,1.000000,0.632271,0.675541,1.000000,0.809689,0.814222,1.000000,0.007944,0.005479,0.113011,0.524406,0.525425,1.000000,0.772359,0.768802,1.000000,0.809966,0.811013,1.000000,0.284376,0.283833,0.996000,0.139500,0.179858,0.957796,0.231891,0.285291,0.994499,0.318697,0.365116,0.999100,0.100837,0.140491,0.920592,0.691782,0.638919,1.000000,0.430701,0.381179,0.999700,0.277748,0.279986,0.995900,0.563121,0.484812,1.000000,0.472061,0.426616,0.999900,0.928547,0.918887,1.000000,0.160126,0.155552,0.938394,0.332981,0.402364,0.999800,0.354733,0.350209,0.999500,0.236995,0.241278,0.989999,0.291757,0.288942,0.996100,0.632139,0.643308,1.000000,0.706529,0.647938,1.000000,0.511218,0.444360,1.000000,0.415905,0.346596,0.999700,0.949494,0.937109,1.000000
"rs4837782",0.164934,0.158215,0.945295,0.387603,0.381599,0.999800,0.644015,0.647954,1.000000,0.163518,0.165623,0.949395,0.391014,0.385338,0.999600,0.703880,0.708678,1.000000,0.221285,0.223468,0.983298,0.314690,0.319259,0.997300,0.773727,0.776677,1.000000,0.478055,0.481815,1.000000,0.519761,0.525779,1.000000,0.737326,0.737299,1.000000,0.211524,0.205821,0.976698,0.201476,0.207987,0.976898,0.205281,0.204501,0.974897,0.263030,0.260440,0.992599,0.095353,0.129016,0.894189,0.683038,0.712880,1.000000,0.578612,0.573116,1.000000,0.143014,0.188148,0.962396,0.631921,0.662856,1.000000,0.632271,0.675541,1.000000,0.809689,0.814222,1.000000,0.007944,0.005479,0.113011,0.524406,0.525425,1.000000,0.772359,0.768802,1.000000,0.809966,0.811013,1.000000,0.284376,0.283833,0.996000,0.139500,0.179858,0.957796,0.231891,0.285291,0.994499,0.318697,0.365116,0.999100,0.100837,0.140491,0.920592,0.691782,0.638919,1.000000,0.430701,0.381179,0.999700,0.277748,0.279986,0.995900,0.563121,0.484812,1.000000,0.472061,0.426616,0.999900,0.928547,0.918887,1.000000,0.160126,0.155552,0.938394,0.332981,0.402364,0.999800,0.354733,0.350209,0.999500,0.236995,0.241278,0.989999,0.291757,0.288942,0.996100,0.632139,0.643308,1.000000,0.706529,0.647938,1.000000,0.511218,0.444360,1.000000,0.415905,0.346596,0.999700,0.949494,0.937109,1.000000
"rs10984957",0.081333,0.080437,0.771377,0.289438,0.288009,0.995500,0.491007,0.497663,1.000000,0.073061,0.071979,0.723872,0.301479,0.297981,0.996500,0.594676,0.597250,1.000000,0.248744,0.247586,0.989999,0.147232,0.151221,0.923792,0.620304,0.626568,1.000000,0.346894,0.352225,0.999000,0.410045,0.417713,0.999800,0.932737,0.932338,1.000000,0.113104,0.105768,0.848785,0.128799,0.130412,0.900090,0.118612,0.116324,0.870287,0.065577,0.060342,0.674867,0.021813,0.036223,0.491949,0.254913,0.300127,0.996600,0.571685,0.560981,1.000000,0.017838,0.032754,0.464946,0.241213,0.283391,0.995600,0.716007,0.750462,1.000000,0.998073,0.998138,1.000000,0.001710,0.000995,0.025203,0.458782,0.456044,1.000000,0.985366,0.984800,1.000000,0.619047,0.619460,1.000000,0.547168,0.542682,1.000000,0.014355,0.024175,0.383138,0.052762,0.078476,0.757376,0.053415,0.077338,0.753675,0.017964,0.033543,0.473047,0.734149,0.686461,1.000000,0.670962,0.631310,1.000000,0.167470,0.174681,0.959796,0.733676,0.673987,1.000000,0.717278,0.683061,1.000000,0.696850,0.664611,1.000000,0.131273,0.123291,0.888089,0.438004,0.497137,1.000000,0.202015,0.198113,0.973997,0.211963,0.219777,0.984598,0.133823,0.131560,0.904890,0.534864,0.545478,1.000000,0.997780,0.997160,1.000000,0.726776,0.674638,1.000000,0.682500,0.627306,1.000000,0.683954,0.618739,1.000000
"rs7852102",0.082161,0.082462,0.779278,0.287839,0.287382,0.995500,0.461169,0.466568,1.000000,0.073532,0.072341,0.725573,0.298135,0.295201,0.996400,0.591875,0.593916,1.000000,0.258270,0.260626,0.993199,0.140405,0.149359,0.921092,0.611163,0.616624,1.000000,0.315437,0.320831,0.998000,0.376390,0.384842,0.999600,0.880783,0.880593,1.000000,0.113765,0.107128,0.853585,0.125289,0.128080,0.895390,0.119032,0.116942,0.871387,0.065953,0.061413,0.682168,0.022298,0.036885,0.497850,0.252194,0.296585,0.996500,0.626347,0.615912,1.000000,0.018098,0.033003,0.467147,0.236217,0.277555,0.994899,0.710191,0.744985,1.000000,0.972303,0.973240,1.000000,0.001497,0.000861,0.021602,0.474440,0.471673,1.000000,0.934817,0.932290,1.000000,0.687844,0.688073,1.000000,0.620978,0.616559,1.000000,0.014608,0.024605,0.387439,0.049946,0.074855,0.743774,0.053782,0.077747,0.755476,0.018186,0.033908,0.476648,0.734493,0.685758,1.000000,0.672073,0.634142,1.000000,0.168250,0.172271,0.957596,0.734223,0.676066,1.000000,0.718675,0.686506,1.000000,0.697877,0.667053,1.000000,0.130785,0.123869,0.889289,0.435975,0.504536,1.000000,0.203311,0.199203,0.974397,0.212417,0.218300,0.983898,0.133875,0.128953,0.899890,0.537902,0.550801,1.000000,0.997727,0.997109,1.000000,0.728833,0.678428,1.000000,0.683188,0.630528,1.000000,0.684622,0.619158,1.000000
