"SNP_ID","ICV_all_pval","ICV_all_pval_sim","ICV_all_pval_sim_corr","BrainVol_all_pval","BrainVol_all_pval_sim","BrainVol_all_pval_sim_corr","CorticalThickness_all_pval","CorticalThickness_all_pval_sim","CorticalThickness_all_pval_sim_corr","CorticalArea_all_pval","CorticalArea_all_pval_sim","CorticalArea_all_pval_sim_corr","CerebellarVol_all_pval","CerebellarVol_all_pval_sim","CerebellarVol_all_pval_sim_corr","HippocampalVol_all_pval","HippocampalVol_all_pval_sim","HippocampalVol_all_pval_sim_corr","BasalGangliaVol_all_pval","BasalGangliaVol_all_pval_sim","BasalGangliaVol_all_pval_sim_corr","VentricularVol_all_pval","VentricularVol_all_pval_sim","VentricularVol_all_pval_sim_corr","FrontalCorticalThickness_all_pval","FrontalCorticalThickness_all_pval_sim","FrontalCorticalThickness_all_pval_sim_corr","TemporalCorticalThickness_all_pval","TemporalCorticalThickness_all_pval_sim","TemporalCorticalThickness_all_pval_sim_corr","ParietalCorticalThickness_all_pval","ParietalCorticalThickness_all_pval_sim","ParietalCorticalThickness_all_pval_sim_corr","OccipitalCorticalThickness_all_pval","OccipitalCorticalThickness_all_pval_sim","OccipitalCorticalThickness_all_pval_sim_corr","FrontalCorticalArea_all_pval","FrontalCorticalArea_all_pval_sim","FrontalCorticalArea_all_pval_sim_corr","TemporalCorticalArea_all_pval","TemporalCorticalArea_all_pval_sim","TemporalCorticalArea_all_pval_sim_corr","ParietalCorticalArea_all_pval","ParietalCorticalArea_all_pval_sim","ParietalCorticalArea_all_pval_sim_corr","OccipitalCorticalArea_all_pval","OccipitalCorticalArea_all_pval_sim","OccipitalCorticalArea_all_pval_sim_corr","ICV_males_pval","ICV_males_pval_sim","ICV_males_pval_sim_corr","BrainVol_males_pval","BrainVol_males_pval_sim","BrainVol_males_pval_sim_corr","CorticalThickness_males_pval","CorticalThickness_males_pval_sim","CorticalThickness_males_pval_sim_corr","CorticalArea_males_pval","CorticalArea_males_pval_sim","CorticalArea_males_pval_sim_corr","CerebellarVol_males_pval","CerebellarVol_males_pval_sim","CerebellarVol_males_pval_sim_corr","HippocampalVol_males_pval","HippocampalVol_males_pval_sim","HippocampalVol_males_pval_sim_corr","BasalGangliaVol_males_pval","BasalGangliaVol_males_pval_sim","BasalGangliaVol_males_pval_sim_corr","VentricularVol_males_pval","VentricularVol_males_pval_sim","VentricularVol_males_pval_sim_corr","FrontalCorticalThickness_males_pval","FrontalCorticalThickness_males_pval_sim","FrontalCorticalThickness_males_pval_sim_corr","TemporalCorticalThickness_males_pval","TemporalCorticalThickness_males_pval_sim","TemporalCorticalThickness_males_pval_sim_corr","ParietalCorticalThickness_males_pval","ParietalCorticalThickness_males_pval_sim","ParietalCorticalThickness_males_pval_sim_corr","OccipitalCorticalThickness_males_pval","OccipitalCorticalThickness_males_pval_sim","OccipitalCorticalThickness_males_pval_sim_corr","FrontalCorticalArea_males_pval","FrontalCorticalArea_males_pval_sim","FrontalCorticalArea_males_pval_sim_corr","TemporalCorticalArea_males_pval","TemporalCorticalArea_males_pval_sim","TemporalCorticalArea_males_pval_sim_corr","ParietalCorticalArea_males_pval","ParietalCorticalArea_males_pval_sim","ParietalCorticalArea_males_pval_sim_corr","OccipitalCorticalArea_males_pval","OccipitalCorticalArea_males_pval_sim","OccipitalCorticalArea_males_pval_sim_corr","ICV_females_pval","ICV_females_pval_sim","ICV_females_pval_sim_corr","BrainVol_females_pval","BrainVol_females_pval_sim","BrainVol_females_pval_sim_corr","CorticalThickness_females_pval","CorticalThickness_females_pval_sim","CorticalThickness_females_pval_sim_corr","CorticalArea_females_pval","CorticalArea_females_pval_sim","CorticalArea_females_pval_sim_corr","CerebellarVol_females_pval","CerebellarVol_females_pval_sim","CerebellarVol_females_pval_sim_corr","HippocampalVol_females_pval","HippocampalVol_females_pval_sim","HippocampalVol_females_pval_sim_corr","BasalGangliaVol_females_pval","BasalGangliaVol_females_pval_sim","BasalGangliaVol_females_pval_sim_corr","VentricularVol_females_pval","VentricularVol_females_pval_sim","VentricularVol_females_pval_sim_corr","FrontalCorticalThickness_females_pval","FrontalCorticalThickness_females_pval_sim","FrontalCorticalThickness_females_pval_sim_corr","TemporalCorticalThickness_females_pval","TemporalCorticalThickness_females_pval_sim","TemporalCorticalThickness_females_pval_sim_corr","ParietalCorticalThickness_females_pval","ParietalCorticalThickness_females_pval_sim","ParietalCorticalThickness_females_pval_sim_corr","OccipitalCorticalThickness_females_pval","OccipitalCorticalThickness_females_pval_sim","OccipitalCorticalThickness_females_pval_sim_corr","FrontalCorticalArea_females_pval","FrontalCorticalArea_females_pval_sim","FrontalCorticalArea_females_pval_sim_corr","TemporalCorticalArea_females_pval","TemporalCorticalArea_females_pval_sim","TemporalCorticalArea_females_pval_sim_corr","ParietalCorticalArea_females_pval","ParietalCorticalArea_females_pval_sim","ParietalCorticalArea_females_pval_sim_corr","OccipitalCorticalArea_females_pval","OccipitalCorticalArea_females_pval_sim","OccipitalCorticalArea_females_pval_sim_corr"
"rs5987215",0.198598,0.191630,0.642643,0.197693,0.196863,0.659660,0.977763,0.977303,1.000000,0.128929,0.121779,0.503504,0.147595,0.148517,0.559560,0.034502,0.033890,0.180180,0.737696,0.723315,1.000000,0.671331,0.681032,0.997998,0.812415,0.816948,1.000000,0.732579,0.732001,1.000000,0.802688,0.800279,1.000000,0.747159,0.741363,1.000000,0.486239,0.476825,0.963964,0.051230,0.047343,0.251251,0.086753,0.086692,0.389389,0.201862,0.178173,0.642643,0.190874,0.229941,0.685686,0.140213,0.169988,0.582583,0.592909,0.579647,0.986987,0.112130,0.156191,0.527528,0.104676,0.129669,0.492492,0.037023,0.063873,0.269269,0.038359,0.040761,0.208208,0.631782,0.588287,0.982983,0.408971,0.405348,0.923924,0.436698,0.427908,0.925926,0.751503,0.741694,0.998999,0.596455,0.585772,0.985986,0.201085,0.254439,0.727728,0.071872,0.101254,0.397397,0.080870,0.107477,0.416416,0.427994,0.471671,0.941942,0.547805,0.491436,0.962963,0.637108,0.604499,0.998999,0.698526,0.700755,0.996997,0.499462,0.440048,0.961962,0.576433,0.541449,0.989990,0.297147,0.257089,0.802803,0.223897,0.202872,0.696697,0.872380,0.885367,1.000000,0.339977,0.337666,0.889890,0.856553,0.863822,1.000000,0.570072,0.571200,0.993994,0.992977,0.992981,1.000000,0.899290,0.882263,1.000000,0.289606,0.242118,0.770771,0.424240,0.376004,0.931932,0.318669,0.247865,0.775776
"rs7884181",0.023807,0.022373,0.131131,0.053485,0.052361,0.253253,0.590355,0.587456,0.996997,0.034558,0.029050,0.158158,0.027221,0.026629,0.146146,0.041844,0.046938,0.247247,0.837596,0.836848,1.000000,0.373752,0.381503,0.891892,0.697426,0.694385,1.000000,0.971514,0.971925,1.000000,0.427089,0.421986,0.959960,0.171682,0.159922,0.595596,0.187474,0.174809,0.639640,0.015256,0.012963,0.086086,0.025433,0.022312,0.124124,0.026045,0.018437,0.103103,0.024937,0.040433,0.199199,0.028092,0.044442,0.221221,0.793109,0.788458,1.000000,0.014842,0.031036,0.170170,0.013524,0.022925,0.138138,0.277328,0.319349,0.807808,0.179950,0.192982,0.623624,0.685674,0.660665,0.995996,0.431156,0.423666,0.933934,0.829970,0.831864,1.000000,0.832226,0.830674,1.000000,0.239246,0.225676,0.693694,0.035427,0.056617,0.270270,0.010004,0.018871,0.119119,0.020062,0.034238,0.177177,0.034847,0.052635,0.255255,0.308400,0.257630,0.792793,0.541341,0.530713,0.986987,0.332733,0.342317,0.883884,0.523331,0.466992,0.966967,0.461002,0.452424,0.962963,0.076739,0.066304,0.322322,0.342919,0.337806,0.886887,0.403125,0.449921,0.951952,0.213166,0.201941,0.706707,0.882509,0.885484,1.000000,0.204534,0.217200,0.729730,0.436178,0.452118,0.961962,0.888667,0.872106,1.000000,0.348314,0.289171,0.827828,0.364307,0.317232,0.884885,0.274360,0.203440,0.687688
"rs5945176",0.011763,0.012535,0.078078,0.012946,0.012403,0.077077,0.720886,0.713993,1.000000,0.015814,0.013709,0.089089,0.008440,0.007927,0.055055,0.007721,0.007182,0.045045,0.094048,0.088171,0.396396,0.554875,0.547415,0.984985,0.780126,0.777290,1.000000,0.980172,0.980599,1.000000,0.506802,0.498103,0.980981,0.367501,0.340946,0.890891,0.047951,0.040630,0.207207,0.011847,0.011063,0.071071,0.027293,0.028484,0.152152,0.028763,0.023291,0.126126,0.233711,0.290111,0.782783,0.169879,0.201084,0.640641,0.521824,0.509813,0.968969,0.123402,0.170178,0.560561,0.131024,0.156855,0.556557,0.047767,0.070751,0.301301,0.025659,0.026687,0.144144,0.561368,0.526185,0.971972,0.364961,0.379657,0.905906,0.450920,0.430307,0.926927,0.578441,0.571116,0.979980,0.573225,0.563178,0.981982,0.235845,0.280638,0.766767,0.060295,0.087396,0.351351,0.088846,0.118669,0.447447,0.433905,0.474937,0.942943,0.023946,0.019472,0.114114,0.037427,0.025232,0.130130,0.356238,0.359440,0.902903,0.062042,0.037885,0.179179,0.030348,0.020144,0.114114,0.063715,0.050899,0.260260,0.674031,0.662299,0.998999,0.242770,0.268633,0.749750,0.306224,0.290273,0.839840,0.595125,0.613998,0.996997,0.214766,0.220534,0.733734,0.481773,0.468688,0.966967,0.112997,0.073373,0.345345,0.081144,0.058234,0.292292,0.136807,0.105858,0.459459,0.032005,0.015004,0.078078
"rs5987211",0.003497,0.003969,0.027027,0.106363,0.112805,0.461461,0.769221,0.760656,1.000000,0.039534,0.040963,0.209209,0.080373,0.086852,0.395395,0.105227,0.109267,0.462462,0.457708,0.463743,0.958959,0.500303,0.506345,0.969970,0.699639,0.693255,1.000000,0.784109,0.782912,1.000000,0.591135,0.590622,0.996997,0.790261,0.791861,1.000000,0.109068,0.102933,0.451451,0.010422,0.011475,0.073073,0.073340,0.074565,0.339339,0.040608,0.038339,0.194194,0.005380,0.011892,0.070070,0.073297,0.102713,0.421421,0.272293,0.269196,0.774775,0.092113,0.140916,0.497497,0.059881,0.083828,0.365365,0.146035,0.188989,0.588589,0.053666,0.062252,0.278278,0.599499,0.571670,0.979980,0.854673,0.854494,1.000000,0.251834,0.254729,0.755756,0.195141,0.195140,0.635636,0.060762,0.057971,0.257257,0.071904,0.111265,0.422422,0.069269,0.107097,0.415415,0.212685,0.269353,0.756757,0.183765,0.255284,0.738739,0.177549,0.137540,0.554555,0.625511,0.609157,0.998999,0.493302,0.500869,0.978979,0.220042,0.174132,0.654655,0.557392,0.536648,0.989990,0.403711,0.362739,0.918919,0.374883,0.368027,0.914915,0.669771,0.687972,0.998999,0.717707,0.713223,1.000000,0.446839,0.461366,0.963964,0.589612,0.596859,0.995996,0.132668,0.147927,0.572573,0.644322,0.595329,0.996997,0.070355,0.049566,0.244244,0.198748,0.150128,0.600601,0.117273,0.079196,0.371371
"rs2239464",0.005032,0.006863,0.044044,0.013139,0.014493,0.088088,0.450222,0.444405,0.959960,0.015316,0.016207,0.103103,0.016531,0.017944,0.110110,0.070348,0.067015,0.323323,0.218313,0.214913,0.737738,0.309561,0.347510,0.862863,0.323908,0.317931,0.860861,0.295552,0.307606,0.854855,0.803016,0.797685,1.000000,0.397408,0.397671,0.937938,0.031606,0.031176,0.164164,0.025377,0.025832,0.157157,0.029284,0.030331,0.165165,0.008888,0.007349,0.045045,0.000050,0.000307,0.003003,0.000436,0.001184,0.007007,0.670923,0.679071,0.997998,0.000497,0.001497,0.011011,0.000633,0.001444,0.009009,0.008040,0.020197,0.108108,0.000298,0.000484,0.003003,0.345202,0.315319,0.821822,0.733950,0.749459,1.000000,0.641375,0.646819,0.997998,0.854050,0.855535,1.000000,0.425128,0.414863,0.921922,0.001120,0.002765,0.025025,0.000439,0.001357,0.008008,0.001194,0.002728,0.025025,0.002634,0.005703,0.036036,0.722107,0.704696,1.000000,0.707320,0.684054,0.998999,0.531631,0.522147,0.980981,0.739479,0.700836,0.998999,0.726837,0.706891,0.998999,0.832595,0.810014,1.000000,0.192060,0.173322,0.640641,0.582398,0.609511,0.994995,0.324083,0.300394,0.853854,0.335482,0.338454,0.898899,0.863137,0.850986,1.000000,0.653535,0.647240,0.997998,0.873763,0.847023,1.000000,0.950526,0.944393,1.000000,0.831867,0.814203,1.000000,0.335982,0.257938,0.791792
"rs1734792",0.041020,0.047893,0.245245,0.044972,0.049782,0.246246,0.595783,0.591700,0.996997,0.039503,0.044666,0.226226,0.057484,0.063295,0.300300,0.117382,0.111914,0.474474,0.108678,0.090988,0.404404,0.428930,0.465219,0.954955,0.588447,0.585580,0.992993,0.272967,0.277543,0.819820,0.942591,0.941840,1.000000,0.471877,0.475308,0.974975,0.074365,0.080952,0.377377,0.096543,0.104033,0.446446,0.048189,0.050120,0.265265,0.013187,0.011456,0.071071,0.002644,0.006602,0.045045,0.005606,0.011259,0.069069,0.768685,0.765380,1.000000,0.004251,0.009387,0.068068,0.007931,0.014417,0.088088,0.055137,0.094293,0.367367,0.002762,0.003499,0.024024,0.511384,0.485427,0.958959,0.725267,0.730470,1.000000,0.767764,0.764946,1.000000,0.820178,0.815108,1.000000,0.718578,0.708849,0.992993,0.012432,0.022388,0.129129,0.004242,0.009138,0.060060,0.004318,0.007998,0.056056,0.008879,0.018666,0.117117,0.700153,0.667468,1.000000,0.612962,0.592580,0.998999,0.659861,0.656706,0.994995,0.610732,0.569903,0.988989,0.646846,0.629731,0.997998,0.569416,0.530706,0.986987,0.885885,0.878406,1.000000,0.613712,0.618969,0.994995,0.679490,0.666984,0.996997,0.259878,0.270060,0.818819,0.943778,0.942647,1.000000,0.532834,0.540177,0.985986,0.669554,0.630979,0.997998,0.982525,0.980457,1.000000,0.681488,0.647368,0.997998,0.231596,0.174052,0.639640
"rs1734791",0.041020,0.048268,0.247247,0.044972,0.048753,0.241241,0.595783,0.594258,0.996997,0.039503,0.043905,0.222222,0.057484,0.062523,0.295295,0.117382,0.110853,0.470470,0.108678,0.091629,0.405405,0.428930,0.467446,0.954955,0.588447,0.588070,0.992993,0.272967,0.280948,0.820821,0.942591,0.942554,1.000000,0.471877,0.476781,0.974975,0.074365,0.079964,0.372372,0.096543,0.104574,0.447447,0.048189,0.050498,0.265265,0.013187,0.011567,0.072072,0.002644,0.007211,0.046046,0.005606,0.010643,0.069069,0.768685,0.768197,1.000000,0.004251,0.009533,0.068068,0.007931,0.013551,0.080080,0.055137,0.091999,0.358358,0.002762,0.003187,0.019019,0.511384,0.488923,0.958959,0.725267,0.735242,1.000000,0.767764,0.766705,1.000000,0.820178,0.819267,1.000000,0.718578,0.711591,0.994995,0.012432,0.022609,0.130130,0.004242,0.009852,0.064064,0.004318,0.008165,0.058058,0.008879,0.018114,0.115115,0.700153,0.667452,1.000000,0.612962,0.592619,0.998999,0.659861,0.656575,0.994995,0.610732,0.570187,0.989990,0.646846,0.630083,0.997998,0.569416,0.531101,0.986987,0.885885,0.878380,1.000000,0.613712,0.618823,0.994995,0.679490,0.666993,0.996997,0.259878,0.270088,0.818819,0.943778,0.942622,1.000000,0.532834,0.540308,0.985986,0.669554,0.631278,0.997998,0.982525,0.980465,1.000000,0.681488,0.647992,0.997998,0.231596,0.174289,0.639640
"rs1734787",0.052770,0.056688,0.285285,0.085301,0.089708,0.395395,0.587650,0.587219,0.996997,0.071619,0.077817,0.361361,0.103063,0.110821,0.457457,0.111544,0.108070,0.460460,0.242387,0.212446,0.732733,0.515208,0.554363,0.986987,0.523716,0.521609,0.983984,0.253775,0.259700,0.798799,0.964017,0.964016,1.000000,0.480459,0.490114,0.975976,0.124325,0.130340,0.532533,0.153756,0.164945,0.598599,0.105814,0.109267,0.473473,0.012608,0.010956,0.069069,0.002633,0.007164,0.046046,0.005584,0.012056,0.076076,0.767425,0.764307,1.000000,0.004234,0.009466,0.068068,0.007901,0.015451,0.091091,0.054854,0.093957,0.365365,0.002740,0.003281,0.022022,0.510105,0.485436,0.958959,0.724171,0.730281,1.000000,0.764525,0.760544,1.000000,0.820345,0.816542,1.000000,0.716809,0.706607,0.992993,0.012385,0.023582,0.135135,0.004231,0.009699,0.063063,0.004300,0.008428,0.062062,0.008759,0.017394,0.111111,0.797508,0.769917,1.000000,0.873437,0.864849,1.000000,0.649513,0.645025,0.994995,0.845152,0.825143,1.000000,0.896727,0.890666,1.000000,0.547665,0.511762,0.983984,0.499564,0.470709,0.971972,0.738331,0.743589,1.000000,0.595526,0.582750,0.990991,0.237592,0.246995,0.792793,0.917904,0.916237,1.000000,0.544026,0.553566,0.988989,0.900208,0.884418,1.000000,0.791263,0.771793,1.000000,0.978286,0.975313,1.000000,0.223485,0.167921,0.628629
"rs7884370",0.011688,0.012072,0.077077,0.128697,0.141333,0.539540,0.400452,0.389145,0.928929,0.162746,0.167173,0.632633,0.111129,0.123185,0.490490,0.239300,0.253315,0.785786,0.582161,0.588688,0.991992,0.541414,0.546339,0.983984,0.348499,0.333791,0.881882,0.542645,0.531416,0.987988,0.356726,0.370133,0.920921,0.357226,0.357848,0.905906,0.346065,0.342543,0.875876,0.086774,0.087219,0.394394,0.213331,0.211457,0.711712,0.101619,0.098514,0.414414,0.005611,0.012416,0.071071,0.078234,0.111666,0.444444,0.260759,0.269376,0.774775,0.105038,0.157117,0.528529,0.064209,0.092370,0.402402,0.149296,0.191802,0.592593,0.058965,0.065852,0.293293,0.623045,0.594731,0.984985,0.819811,0.825593,1.000000,0.244870,0.246034,0.746747,0.186944,0.198866,0.643644,0.061092,0.060391,0.272272,0.081528,0.127622,0.475475,0.082086,0.122311,0.455455,0.234743,0.292074,0.777778,0.197730,0.274352,0.766767,0.386445,0.341990,0.884885,0.663489,0.640890,0.998999,0.919390,0.921099,1.000000,0.691267,0.649336,0.996997,0.650966,0.628701,0.997998,0.791572,0.767827,1.000000,0.313184,0.302012,0.850851,0.706831,0.730845,1.000000,0.286179,0.283643,0.831832,0.801625,0.809357,1.000000,0.976334,0.976187,1.000000,0.624906,0.642873,0.997998,0.736277,0.699829,0.998999,0.470745,0.421596,0.947948,0.552750,0.498109,0.982983,0.299283,0.250532,0.780781
"rs17435",0.000903,0.001562,0.011011,0.007281,0.008775,0.063063,0.392190,0.395977,0.934935,0.007586,0.008521,0.058058,0.008521,0.009843,0.070070,0.041548,0.040310,0.215215,0.077147,0.068865,0.327327,0.305406,0.341143,0.857858,0.302851,0.301695,0.839840,0.269654,0.278755,0.820821,0.581950,0.586829,0.996997,0.328198,0.322475,0.864865,0.035684,0.033695,0.174174,0.009750,0.011742,0.074074,0.010787,0.012862,0.080080,0.001721,0.002059,0.016016,0.000027,0.000180,0.001001,0.000611,0.001629,0.011011,0.387044,0.393006,0.911912,0.000596,0.001687,0.013013,0.000740,0.001679,0.012012,0.012841,0.029115,0.142142,0.000213,0.000295,0.003003,0.388017,0.364183,0.882883,0.678197,0.696792,0.998999,0.372039,0.376140,0.893894,0.360276,0.368533,0.894895,0.177911,0.169680,0.593594,0.001461,0.003328,0.031031,0.000475,0.001335,0.008008,0.001456,0.003224,0.027027,0.002319,0.005618,0.035035,0.385810,0.364428,0.897898,0.499451,0.478520,0.976977,0.688123,0.689991,0.995996,0.514431,0.463127,0.966967,0.515890,0.494154,0.974975,0.542669,0.502289,0.981982,0.455366,0.428051,0.952953,0.534856,0.563348,0.980981,0.322620,0.305912,0.859860,0.484903,0.504102,0.977978,0.975027,0.974177,1.000000,0.866362,0.867041,1.000000,0.905987,0.887791,1.000000,0.624335,0.592690,0.992993,0.482675,0.443900,0.960961,0.114043,0.074484,0.352352
